년월, 한국인남 , 한국인여 
2006.12,"257,090","247,918"
2007.12,"257,385","248,170"
2008.12,"258,441","249,678"
2009.12,"259,082","250,393"
2010.01,"259,331","250,567"
2010.02,"259,331","250,479"
2010.03,"259,082","250,510"
2010.04,"259,317","250,723"
2010.05,"259,372","250,743"
2010.06,"259,471","250,917"
2010.07,"259,583","250,907"
2010.08,"259,732","251,047"
2010.09,"259,814","251,135"
2010.1,"261,300","252,881"
2010.11,"261,422","253,019"
2010.12,"261,586","253,169"
2011.01,"261,717","253,241"
2011.02,"261,729","253,293"
2011.03,"261,612","253,253"
2011.04,"261,657","253,382"
2011.05,"261,662","253,439"
2011.06,"261,905","253,595"
2011.07,"262,066","253,793"
2011.08,"262,159","253,910"
2011.09,"262,259","254,161"
2011.1,"262,359","254,180"
2011.11,"262,474","254,355"
2011.12,"262,648","254,440"
2012.01,"262,745","254,562"
2012.02,"262,712","254,610"
2012.03,"262,751","254,663"
2012.04,"262,912","254,756"
2012.05,"262,926","254,796"
2012.06,"262,830","254,793"
2012.07,"262,897","254,788"
2012.08,"262,963","254,893"
2012.09,"262,987","254,882"
2012.1,"263,176","254,976"
2012.11,"263,664","255,412"
2012.12,"263,576","255,337"
2013.01,"263,705","255,393"
2013.02,"263,776","255,438"
2013.03,"263,648","255,412"
2013.04,"263,527","255,429"
2013.05,"263,438","255,545"
2013.06,"263,365","255,610"
2013.07,"263,320","255,583"
2013.08,"263,477","255,733"
2013.09,"263,356","255,802"
2013.1,"263,348","255,901"
2013.11,"263,449","256,075"
2013.12,"263,461","256,006"
2014.01,"263,533","256,070"
2014.02,"263,460","255,888"
2014.03,"263,346","255,847"
2014.04,"263,252","255,859"
2014.05,"263,021","255,875"
2014.06,"262,954","255,911"
2014.07,"262,953","256,027"
2014.08,"262,954","256,077"
2014.09,"262,796","256,041"
2014.1,"262,812","256,064"
2014.11,"262,922","256,075"
2014.12,"263,070","256,298"
2015.01,"262,766","255,943"
2015.02,"262,565","255,765"
2015.03,"262,386","255,793"
2015.04,"262,264","255,710"
2015.05,"262,401","255,785"
2015.06,"262,235","255,669"
2015.07,"262,216","255,735"
2015.08,"262,221","255,745"
2015.09,"262,240","255,837"
2015.1,"262,364","256,080"
2015.11,"263,130","257,030"
2015.12,"262,814","256,770"
2016.01,"262,630","256,614"
2016.02,"262,440","256,462"
2016.03,"262,209","256,184"
2016.04,"261,973","256,179"
2016.05,"261,918","256,072"
2016.06,"261,907","256,140"
2016.07,"261,879","256,157"
2016.08,"261,697","256,077"
2016.09,"261,675","256,069"
2016.1,"261,502","256,011"
2016.11,"261,342","255,895"
2016.12,"261,105","255,670"
2017.01,"260,917","255,580"
2017.02,"260,785","255,209"
2017.03,"260,430","254,987"
2017.04,"260,330","254,925"
2017.05,"260,181","254,827"
2017.06,"260,076","254,793"
2017.07,"259,933","254,676"
2017.08,"259,782","254,518"
2017.09,"259,662","254,505"
2017.1,"259,639","254,484"
2017.11,"259,626","254,501"
2017.12,"259,491","254,341"
2018.01,"259,167","254,082"
2018.02,"258,822","253,628"
2018.03,"258,604","253,206"
2018.04,"258,452","253,067"
2018.05,"258,361","252,937"
2018.06,"258,329","252,859"
